"date","day_of_week","DJ_return","log_volume","log_volatility","train"
"1962-12-03","mon",-0.004461,0.032573,-13.1274025527484,TRUE
"1962-12-04","tues",0.007813,0.346202,-11.7493047230798,TRUE
"1962-12-05","wed",0.003845,0.525306,-11.6656090381915,TRUE
"1962-12-06","thur",-0.003462,0.210182,-11.6267724445685,TRUE
"1962-12-07","fri",0.000568,0.044187,-11.7281302369481,TRUE
"1962-12-10","mon",-0.010824,0.133246,-10.8725263206323,TRUE
"1962-12-11","tues",0.000124,-0.011528,-10.9777967678891,TRUE
"1962-12-12","wed",0.003358,0.001607,-11.0123598960169,TRUE
"1962-12-13","thur",-0.003296,-0.106437,-11.0471080858552,TRUE
"1962-12-14","fri",0.004469,-0.138269,-11.0220633934481,TRUE
"1962-12-17","mon",-0.00402,-0.049635,-11.0231535227425,TRUE
"1962-12-18","tues",-0.008323,-0.043387,-10.7421494107684,TRUE
"1962-12-19","wed",0.010659,0.053629,-10.387500860651,TRUE
"1962-12-20","thur",0.002393,0.104624,-10.4724268698058,TRUE
"1962-12-21","fri",-0.003305,-0.088976,-10.5358019447125,TRUE
"1962-12-24","mon",0.002009,-0.176311,-10.6244224606168,TRUE
"1962-12-26","wed",0.006049,-0.118011,-10.5751605624308,TRUE
"1962-12-27","thur",-0.001659,-0.03438,-10.6686232298485,TRUE
"1962-12-28","fri",0.001336,0.083565,-10.7654899296971,TRUE
"1962-12-31","mon",0.001028,0.346693,-10.8653050791667,TRUE
"1963-01-02","wed",-0.008176,-0.413953,-10.6423013605893,TRUE
"1963-01-03","thur",0.016301,0.16862,-9.94286829449334,TRUE
"1963-01-04","fri",0.00729,0.328089,-9.93237088895608,TRUE
"1963-01-07","mon",-0.000136,0.127959,-10.0376891125298,TRUE
"1963-01-08","tues",0.011622,0.321242,-9.84796354026974,TRUE
"1963-01-09","wed",-0.00281,0.263888,-9.93685614281269,TRUE
"1963-01-10","thur",0.002258,0.140575,-10.0305709780531,TRUE
"1963-01-11","fri",0.003117,0.113642,-10.1117136740378,TRUE
"1963-01-14","mon",0.006145,0.238402,-10.1187194834191,TRUE
"1963-01-15","tues",-0.027577,0.14005,-9.09404555427811,TRUE
"1963-01-16","wed",0.017552,0.077311,-8.9334088804923,TRUE
"1963-01-17","thur",0.005932,0.28156,-9.00956431842803,TRUE
"1963-01-18","fri",-0.000684,0.182834,-9.11449942396332,TRUE
"1963-01-21","mon",0.004036,0.028916,-9.20354650265894,TRUE
"1963-01-22","tues",0.000429,0.187155,-9.3087033167294,TRUE
"1963-01-23","wed",0.00303,0.184594,-9.40287082264784,TRUE
"1963-01-24","thur",-0.000871,0.176301,-9.50720971848303,TRUE
"1963-01-25","fri",0.00401,0.163308,-9.58881550844529,TRUE
"1963-01-28","mon",0.004668,0.148587,-9.65944299697046,TRUE
"1963-01-29","tues",0.001229,0.066165,-9.7621760287739,TRUE
"1963-01-30","wed",-0.007561,-0.088458,-9.7629135921108,TRUE
"1963-01-31","thur",0.006273,0.040821,-9.79504776271299,TRUE
"1963-02-01","fri",0.000498,0.035514,-9.89991434405603,TRUE
"1963-02-04","mon",-0.001729,-0.119618,-9.99867971930427,TRUE
"1963-02-05","tues",-0.001042,-0.023231,-10.1013920552175,TRUE
"1963-02-06","wed",0.001789,0.043096,-10.1981201238397,TRUE
"1963-02-07","thur",-0.005038,0.016663,-10.2304777659629,TRUE
"1963-02-08","fri",0.001221,-0.070667,-10.3312507249551,TRUE
"1963-02-11","mon",-0.007648,-0.073511,-10.2548278936614,TRUE
"1963-02-12","tues",0.002782,-0.119985,-10.3360366427809,TRUE
"1963-02-13","wed",0.007509,0.166714,-10.2648247766034,TRUE
"1963-02-14","thur",0.004595,0.29217,-10.3050023733133,TRUE
"1963-02-15","fri",0.001765,0.047811,-10.4000704209335,TRUE
"1963-02-18","mon",0.004204,0.109113,-10.4429084861849,TRUE
"1963-02-19","tues",-0.003096,-0.021372,-10.5123803531325,TRUE
"1963-02-20","wed",-0.006969,-0.024994,-10.4367353516203,TRUE
"1963-02-21","thur",-0.000616,-0.062097,-10.540659774819,TRUE
"1963-02-25","mon",-0.010367,-0.141754,-10.2733160550456,TRUE
"1963-02-26","tues",0.000993,-0.145954,-10.3755117818199,TRUE
